EmailID,Contains_Offer,Contains_Win,Contains_Financial,Email_Length,Capital_Letter_Ratio,Spam
137,Yes,No,Yes,228,0.1,Yes
138,No,Yes,Yes,129,0.13,Yes
139,Yes,Yes,No,474,0.22,Yes
140,No,No,No,424,0.08,No
141,Yes,Yes,No,283,0.01,Yes
142,Yes,No,No,260,0.19,No
143,No,No,Yes,285,0.15,Yes
144,No,No,No,201,0.17,No
145,Yes,No,Yes,205,0.09,No
146,No,Yes,Yes,379,0.15,No
147,Yes,Yes,No,331,0.24,Yes
148,Yes,No,No,419,0.14,Yes
149,Yes,No,No,399,0.27,Yes
150,No,Yes,No,110,0.21,No
151,Yes,Yes,Yes,330,0.29,Yes
152,Yes,Yes,No,259,0.18,No
153,Yes,Yes,No,152,0.06,No
154,Yes,Yes,No,437,0.09,Yes
155,Yes,No,No,134,0.17,Yes
156,No,No,No,221,0.21,No
157,No,No,Yes,273,0.1,No
158,No,Yes,Yes,412,0.16,Yes
159,No,Yes,No,402,0.18,No
160,Yes,Yes,Yes,215,0.03,Yes
161,Yes,No,No,312,0.15,Yes
162,No,No,No,153,0.04,Yes
163,No,Yes,Yes,217,0.17,No
164,Yes,No,Yes,416,0.2,No
165,Yes,No,Yes,166,0.18,No
166,Yes,No,Yes,400,0.07,No
167,Yes,No,No,341,0.04,No
168,No,No,No,360,0.05,No
169,Yes,No,Yes,260,0.15,No
170,Yes,Yes,Yes,207,0.14,Yes
171,No,Yes,No,377,0.1,Yes
172,No,Yes,Yes,345,0.3,No
173,No,Yes,No,422,0.18,Yes
174,No,Yes,No,285,0.28,No
175,Yes,No,No,240,0.03,No
176,No,Yes,No,226,0.24,Yes
177,No,No,No,265,0.28,Yes
178,No,Yes,No,392,0.17,Yes
179,Yes,Yes,No,139,0.19,Yes
180,No,No,Yes,177,0.27,No
181,No,No,No,216,0.04,No
182,No,Yes,Yes,469,0.07,Yes
183,No,Yes,Yes,295,0.1,Yes
184,Yes,Yes,No,300,0.27,Yes
185,Yes,Yes,No,399,0.14,Yes
186,Yes,No,No,317,0.16,No
187,Yes,Yes,Yes,268,0.22,Yes
188,No,Yes,Yes,218,0.08,No
189,No,Yes,No,285,0.3,Yes
190,Yes,No,No,345,0.29,Yes
191,No,Yes,No,133,0.21,Yes
192,Yes,Yes,Yes,102,0.09,Yes
193,No,Yes,No,424,0.16,Yes
194,Yes,Yes,No,199,0.11,Yes
195,Yes,No,No,165,0.06,Yes
196,No,No,Yes,337,0.09,No
197,No,No,No,199,0.1,No
198,No,No,No,407,0.29,No
199,No,Yes,No,460,0.14,No
200,Yes,Yes,Yes,299,0.26,Yes
201,No,Yes,Yes,361,0.28,Yes
202,No,No,Yes,443,0.1,No
203,Yes,No,No,267,0.17,No
204,No,No,Yes,131,0.27,Yes
205,Yes,Yes,No,499,0.14,No
206,No,Yes,Yes,395,0.2,Yes
207,Yes,No,Yes,235,0.06,Yes
208,No,Yes,Yes,388,0.28,Yes
209,Yes,Yes,No,202,0.27,No
210,No,No,Yes,469,0.18,Yes
211,Yes,No,Yes,169,0.21,No
212,No,Yes,No,277,0.12,Yes
213,No,No,Yes,183,0.19,Yes
214,Yes,Yes,No,333,0.04,No
215,No,Yes,No,252,0.02,No
216,No,No,No,256,0.01,No
217,No,No,No,239,0.28,No
218,Yes,Yes,No,134,0.29,Yes
219,Yes,Yes,No,333,0.14,No
220,Yes,No,No,411,0.23,No
221,Yes,Yes,No,431,0.2,Yes
222,Yes,No,No,328,0.25,Yes
223,No,Yes,No,335,0.18,No
224,No,No,Yes,409,0.23,No
225,No,No,No,391,0.15,No
226,Yes,Yes,Yes,197,0.23,No
227,No,Yes,No,121,0.03,No
228,No,Yes,No,384,0.28,Yes
229,No,No,No,247,0.07,Yes
230,No,No,Yes,319,0.14,No
231,Yes,Yes,No,450,0.18,Yes
232,No,No,No,459,0.11,No
233,No,Yes,Yes,330,0.06,Yes
234,No,Yes,Yes,306,0.04,No
235,No,Yes,Yes,391,0.17,Yes
236,Yes,Yes,No,296,0.21,Yes
237,Yes,Yes,Yes,137,0.19,Yes
238,Yes,No,No,450,0.14,No
239,No,No,Yes,241,0.06,No
240,Yes,Yes,No,166,0.07,No
241,No,No,No,379,0.04,Yes
242,Yes,No,No,192,0.18,Yes
243,Yes,Yes,Yes,119,0.06,No
244,No,No,Yes,185,0.21,Yes
245,No,Yes,Yes,247,0.21,No
246,No,No,Yes,276,0.21,Yes
247,Yes,No,Yes,425,0.16,Yes
248,No,No,Yes,324,0.02,Yes
249,No,No,Yes,166,0.11,Yes
250,Yes,Yes,Yes,249,0.22,No
251,No,Yes,Yes,318,0.29,No
252,No,No,No,179,0.29,No
253,Yes,Yes,No,235,0.28,No
254,Yes,Yes,Yes,180,0.1,No
255,Yes,No,No,421,0.29,Yes
256,Yes,Yes,No,461,0.02,No
257,Yes,No,No,439,0.12,Yes
258,Yes,No,Yes,287,0.17,Yes
259,No,No,Yes,274,0.13,No
260,No,Yes,No,235,0.13,No
261,Yes,No,No,128,0.04,No
262,No,Yes,No,108,0.29,Yes
263,Yes,No,No,185,0.19,No
264,Yes,No,Yes,171,0.17,Yes
265,No,Yes,Yes,285,0.21,Yes
266,No,No,Yes,345,0.23,Yes
267,No,Yes,No,456,0.1,Yes
268,Yes,No,Yes,138,0.14,Yes
269,No,Yes,No,439,0.15,Yes
270,No,No,No,365,0.24,No
271,No,No,No,144,0.18,No
272,No,Yes,No,433,0.2,No
273,Yes,Yes,No,350,0.12,No
274,No,No,Yes,423,0.13,No
275,No,No,Yes,434,0.23,No
276,Yes,No,No,300,0.08,No
277,No,Yes,No,367,0.04,Yes
278,Yes,Yes,Yes,344,0.23,No
279,Yes,Yes,Yes,452,0.11,Yes
280,Yes,Yes,Yes,208,0.22,Yes
281,Yes,No,Yes,372,0.12,Yes
282,Yes,Yes,No,424,0.21,No
283,Yes,No,Yes,287,0.09,Yes
284,Yes,No,No,440,0.02,Yes
285,No,No,Yes,466,0.04,No
286,Yes,Yes,No,410,0.3,No
287,Yes,No,No,392,0.19,No
288,Yes,Yes,No,317,0.01,Yes
289,No,Yes,No,151,0.18,Yes
290,Yes,Yes,Yes,428,0.03,Yes
291,Yes,Yes,Yes,425,0.2,No
292,Yes,No,No,446,0.18,No
293,Yes,No,Yes,147,0.24,No
294,No,No,No,272,0.26,No
295,No,Yes,Yes,133,0.3,No
296,No,No,Yes,403,0.17,No
297,No,Yes,No,375,0.28,Yes
298,Yes,No,No,237,0.27,Yes
299,No,Yes,No,452,0.16,No
300,Yes,Yes,Yes,189,0.23,No
301,No,Yes,No,104,0.3,No
302,No,No,No,114,0.14,No
303,No,No,Yes,418,0.25,Yes
304,Yes,No,No,110,0.26,Yes
305,No,Yes,Yes,400,0.09,No
306,No,Yes,Yes,169,0.11,Yes
307,Yes,No,No,429,0.06,Yes
308,Yes,Yes,Yes,128,0.1,Yes
309,No,Yes,No,437,0.04,Yes
310,Yes,Yes,No,159,0.18,Yes
311,No,Yes,No,104,0.21,Yes
312,Yes,No,No,234,0.16,No
313,No,Yes,Yes,486,0.26,No
314,Yes,No,Yes,143,0.27,Yes
315,No,No,No,453,0.05,No
316,Yes,No,No,390,0.24,No
317,Yes,Yes,Yes,140,0.06,No
318,No,Yes,Yes,280,0.29,Yes
319,Yes,No,No,213,0.3,Yes
320,No,Yes,No,299,0.16,Yes
321,Yes,Yes,No,483,0.09,No
322,Yes,No,No,111,0.05,No
323,No,No,Yes,491,0.15,Yes
324,No,Yes,No,270,0.1,Yes
325,Yes,Yes,Yes,157,0.15,No
326,Yes,Yes,Yes,269,0.05,No
327,Yes,No,Yes,220,0.18,No
328,Yes,Yes,No,448,0.11,No
329,Yes,Yes,No,359,0.14,Yes
330,No,No,Yes,333,0.15,Yes
331,No,No,No,239,0.22,No
332,No,No,No,463,0.3,No
333,Yes,No,Yes,200,0.19,No
334,No,Yes,Yes,237,0.16,Yes
335,Yes,No,Yes,224,0.02,No
336,Yes,No,Yes,169,0.03,No
337,Yes,No,No,106,0.22,No
338,No,Yes,Yes,333,0.17,Yes
339,Yes,Yes,Yes,416,0.04,Yes
340,Yes,No,No,492,0.11,Yes
341,No,Yes,Yes,278,0.28,No
342,Yes,No,Yes,359,0.12,No
343,No,No,Yes,487,0.2,Yes
344,No,No,No,426,0.14,No
345,No,Yes,No,126,0.28,No
346,No,Yes,No,151,0.27,Yes
347,Yes,No,Yes,372,0.18,Yes
348,Yes,Yes,No,414,0.09,Yes
349,No,No,No,215,0.17,No
350,Yes,No,No,221,0.29,Yes
351,Yes,No,Yes,313,0.04,No
352,No,Yes,No,144,0.08,Yes
353,Yes,Yes,Yes,214,0.13,Yes
354,No,No,Yes,136,0.1,No
355,No,No,No,161,0.08,Yes
356,Yes,No,No,447,0.14,No
357,Yes,No,No,320,0.09,Yes
358,No,Yes,Yes,416,0.12,Yes
359,Yes,Yes,No,354,0.09,Yes
360,No,Yes,Yes,485,0.03,No
361,No,Yes,Yes,227,0.15,Yes
362,Yes,No,No,385,0.06,Yes
363,Yes,No,Yes,273,0.21,No
364,No,Yes,No,376,0.05,No
365,Yes,Yes,No,222,0.21,Yes
366,Yes,Yes,No,498,0.03,No
367,No,No,Yes,379,0.15,No
368,No,Yes,No,386,0.07,No
369,Yes,No,No,354,0.08,No
370,No,Yes,No,476,0.23,No
371,No,No,Yes,307,0.16,No
372,No,Yes,Yes,132,0.14,Yes
373,Yes,No,No,233,0.27,No
374,No,No,Yes,297,0.27,No
375,No,No,No,206,0.28,No
376,Yes,Yes,No,434,0.29,Yes
377,No,No,No,343,0.16,Yes
378,No,No,Yes,283,0.15,Yes
379,No,Yes,Yes,178,0.25,Yes
380,No,Yes,No,442,0.18,Yes
381,Yes,No,No,186,0.2,Yes
382,Yes,No,Yes,128,0.24,No
383,No,Yes,No,448,0.3,Yes
384,Yes,Yes,No,451,0.14,Yes
385,Yes,Yes,Yes,325,0.26,No
386,Yes,No,No,356,0.2,No
387,No,No,Yes,148,0.19,Yes
388,No,Yes,Yes,484,0.11,No
389,No,No,No,444,0.23,No
390,No,Yes,No,499,0.14,No
391,No,Yes,Yes,472,0.18,Yes
392,Yes,Yes,Yes,492,0.16,Yes
393,No,Yes,Yes,183,0.16,No
394,Yes,No,No,446,0.29,No
395,Yes,Yes,Yes,114,0.02,Yes
396,Yes,Yes,No,277,0.23,Yes
397,No,No,Yes,477,0.21,Yes
398,Yes,Yes,Yes,468,0.03,Yes
399,Yes,No,No,379,0.17,No
400,Yes,No,No,362,0.28,No
401,No,Yes,Yes,458,0.29,No
402,Yes,No,No,439,0.15,Yes
403,No,Yes,No,369,0.03,No
404,Yes,Yes,No,426,0.23,Yes
405,No,No,No,249,0.05,Yes
406,Yes,Yes,No,286,0.03,Yes
407,Yes,No,Yes,379,0.24,Yes
408,Yes,No,No,222,0.09,No
409,Yes,No,No,456,0.25,No
410,No,Yes,Yes,147,0.13,Yes
411,Yes,Yes,Yes,297,0.17,Yes
412,No,Yes,Yes,470,0.09,Yes
413,Yes,Yes,Yes,431,0.07,No
414,No,Yes,No,285,0.25,Yes
415,Yes,No,Yes,187,0.2,Yes
416,No,No,Yes,426,0.22,Yes
417,Yes,Yes,Yes,397,0.03,Yes
418,Yes,Yes,No,152,0.22,No
419,No,No,Yes,245,0.01,Yes
420,No,No,Yes,277,0.16,No
421,Yes,No,No,135,0.2,Yes
422,Yes,No,No,334,0.08,No
423,Yes,Yes,No,119,0.22,No
424,No,Yes,No,488,0.16,Yes
425,Yes,Yes,No,171,0.26,Yes
426,No,No,Yes,442,0.28,No
427,No,Yes,No,331,0.09,No
428,No,Yes,Yes,208,0.14,No
429,Yes,No,No,160,0.26,No
430,No,No,Yes,166,0.18,Yes
431,No,No,Yes,469,0.27,No
432,Yes,Yes,Yes,436,0.15,Yes
433,Yes,No,Yes,244,0.18,Yes
434,Yes,No,Yes,391,0.18,Yes
435,No,No,Yes,149,0.16,No
436,Yes,Yes,Yes,392,0.16,No
437,Yes,Yes,Yes,437,0.23,No
438,No,No,Yes,498,0.08,No
439,Yes,No,Yes,287,0.16,No
440,No,Yes,Yes,173,0.02,Yes
441,No,No,Yes,350,0.09,No
442,Yes,Yes,Yes,186,0.04,No
443,Yes,Yes,Yes,342,0.25,No
444,Yes,Yes,Yes,143,0.3,No
445,Yes,No,No,207,0.08,No
446,Yes,No,Yes,162,0.29,Yes
447,Yes,Yes,No,277,0.01,No
448,No,No,No,241,0.27,No
449,Yes,Yes,Yes,103,0.18,No
450,No,Yes,Yes,338,0.05,Yes
451,Yes,Yes,No,381,0.27,Yes
452,No,No,Yes,234,0.04,No
453,No,No,Yes,289,0.3,Yes
454,No,Yes,Yes,359,0.28,No
455,No,Yes,No,128,0.02,No
456,No,No,No,275,0.23,Yes
457,No,Yes,No,161,0.19,Yes
458,No,Yes,Yes,483,0.29,No
459,Yes,No,No,438,0.1,No
460,Yes,Yes,No,208,0.23,Yes
461,Yes,Yes,Yes,410,0.22,Yes
462,No,No,No,269,0.12,Yes
463,Yes,No,No,179,0.19,No
464,Yes,Yes,No,274,0.06,No
465,Yes,No,Yes,317,0.17,Yes
466,No,No,Yes,108,0.03,No
467,Yes,No,Yes,123,0.05,No
468,Yes,Yes,Yes,120,0.03,Yes
469,Yes,No,Yes,364,0.18,Yes
470,No,No,No,361,0.3,Yes
471,Yes,Yes,No,354,0.05,Yes
472,Yes,Yes,Yes,346,0.18,No
473,Yes,Yes,Yes,236,0.16,Yes
474,No,No,Yes,186,0.23,No
475,Yes,No,Yes,415,0.09,No
476,Yes,Yes,Yes,360,0.08,No
477,No,No,Yes,270,0.23,No
478,No,Yes,No,477,0.18,No
479,Yes,Yes,No,366,0.12,No
480,No,Yes,Yes,305,0.26,No
481,Yes,No,Yes,271,0.18,Yes
482,Yes,No,No,268,0.02,Yes
483,Yes,No,Yes,301,0.05,Yes
484,No,No,Yes,315,0.24,Yes
485,No,Yes,Yes,143,0.02,Yes
486,No,Yes,No,174,0.12,No
487,No,Yes,No,414,0.12,No
488,No,No,Yes,476,0.03,No
489,Yes,No,Yes,166,0.11,Yes
490,No,Yes,No,480,0.08,Yes
491,Yes,Yes,No,323,0.2,Yes
492,No,Yes,Yes,402,0.18,No
493,Yes,No,Yes,345,0.08,No
494,No,Yes,Yes,462,0.27,No
495,No,Yes,Yes,247,0.04,Yes
496,No,Yes,No,478,0.29,Yes
497,Yes,Yes,No,196,0.27,No
498,Yes,No,Yes,161,0.06,Yes
499,Yes,Yes,Yes,348,0.13,No
500,Yes,No,Yes,462,0.02,Yes
501,No,Yes,No,206,0.02,Yes
502,Yes,No,Yes,309,0.13,Yes
503,No,Yes,No,368,0.09,Yes
504,Yes,No,No,209,0.3,No
505,Yes,No,No,198,0.23,No
506,Yes,Yes,No,441,0.28,Yes
507,No,Yes,Yes,444,0.26,No
508,No,No,Yes,464,0.24,Yes
509,Yes,Yes,Yes,315,0.05,Yes
510,No,No,No,352,0.12,Yes
511,No,Yes,Yes,444,0.16,No
512,No,No,No,256,0.24,No
513,Yes,No,Yes,133,0.19,No
514,Yes,No,Yes,409,0.19,No
515,Yes,No,Yes,168,0.2,Yes
516,Yes,No,Yes,183,0.3,No
517,No,No,No,409,0.14,No
518,Yes,No,Yes,354,0.24,No
519,Yes,Yes,Yes,361,0.07,No
520,No,Yes,No,426,0.22,Yes
521,Yes,No,Yes,460,0.05,Yes
522,Yes,Yes,Yes,348,0.25,Yes
523,No,Yes,Yes,216,0.1,No
524,No,No,No,175,0.04,Yes
525,Yes,Yes,No,201,0.14,Yes
526,Yes,Yes,No,369,0.06,No
527,No,No,No,146,0.14,No
528,Yes,No,No,490,0.12,No
529,Yes,No,Yes,365,0.29,Yes
530,Yes,Yes,No,268,0.14,No
531,Yes,Yes,Yes,305,0.04,No
532,Yes,No,No,116,0.05,No
533,Yes,No,No,473,0.17,No
534,Yes,No,Yes,283,0.04,Yes
535,No,No,Yes,278,0.24,Yes
536,Yes,No,Yes,442,0.29,Yes
537,No,No,No,148,0.13,Yes
538,No,No,No,377,0.22,Yes
539,No,No,Yes,350,0.03,No
540,No,Yes,Yes,223,0.19,No
541,No,Yes,Yes,481,0.2,No
542,No,Yes,Yes,338,0.19,Yes
543,Yes,No,No,372,0.07,No
544,Yes,No,Yes,357,0.2,Yes
545,Yes,Yes,Yes,253,0.17,Yes
546,Yes,No,No,448,0.02,Yes
547,Yes,No,Yes,369,0.26,No
548,Yes,No,Yes,315,0.28,No
549,No,Yes,No,204,0.2,No
550,Yes,Yes,Yes,265,0.29,Yes
551,No,Yes,No,182,0.16,Yes
552,Yes,No,Yes,240,0.07,Yes
553,Yes,Yes,No,344,0.19,Yes
554,Yes,No,Yes,281,0.25,No
555,No,No,Yes,421,0.03,Yes
556,No,Yes,No,359,0.17,Yes
557,Yes,No,No,344,0.17,Yes
558,No,No,No,238,0.25,Yes
559,No,Yes,No,403,0.06,Yes
560,Yes,No,Yes,158,0.1,Yes
561,No,Yes,Yes,152,0.21,No
562,Yes,Yes,Yes,156,0.13,Yes
563,Yes,Yes,No,174,0.2,Yes
564,No,No,Yes,270,0.3,No
565,Yes,No,No,454,0.01,Yes
566,No,Yes,No,278,0.07,Yes
567,Yes,Yes,Yes,408,0.06,Yes
568,No,Yes,No,274,0.08,Yes
569,Yes,No,No,342,0.08,No
570,No,No,Yes,252,0.09,Yes
571,Yes,No,No,446,0.07,No
572,No,Yes,No,103,0.14,No
573,Yes,Yes,Yes,374,0.13,Yes
574,Yes,Yes,No,150,0.14,Yes
575,Yes,No,Yes,320,0.1,No
576,No,Yes,No,438,0.17,Yes
577,Yes,Yes,Yes,379,0.27,No
578,Yes,Yes,No,421,0.11,No
579,Yes,Yes,Yes,139,0.28,No
580,No,No,No,239,0.04,No
581,No,No,Yes,495,0.02,Yes
582,No,No,No,393,0.05,No
583,No,Yes,No,102,0.28,No
584,Yes,No,No,460,0.04,Yes
585,No,No,No,217,0.28,Yes
586,Yes,No,No,263,0.2,Yes
587,No,No,Yes,216,0.29,No
588,Yes,No,No,409,0.16,No
589,Yes,No,No,461,0.17,Yes
590,No,No,No,131,0.21,Yes
591,No,No,No,472,0.22,Yes
592,Yes,Yes,No,299,0.03,No
593,No,Yes,Yes,118,0.23,No
594,Yes,No,No,225,0.17,Yes
595,Yes,Yes,No,176,0.21,Yes
596,Yes,Yes,No,456,0.14,Yes
597,No,No,No,222,0.24,Yes
598,Yes,No,No,303,0.16,No
599,Yes,Yes,Yes,297,0.04,No
600,No,Yes,No,274,0.11,Yes
601,No,No,Yes,433,0.11,No
602,Yes,Yes,No,131,0.29,Yes
603,No,No,Yes,177,0.29,No
604,Yes,No,Yes,153,0.26,Yes
605,No,No,Yes,409,0.18,No
606,No,No,Yes,378,0.06,Yes
607,Yes,Yes,Yes,261,0.15,No
608,No,No,No,472,0.12,Yes
609,No,Yes,No,206,0.09,No
610,No,Yes,Yes,297,0.03,Yes
611,Yes,Yes,Yes,428,0.11,Yes
612,Yes,Yes,No,350,0.03,Yes
613,Yes,Yes,Yes,355,0.08,No
614,No,No,Yes,105,0.11,Yes
615,No,No,Yes,197,0.28,Yes
616,No,Yes,No,286,0.27,No
617,No,Yes,Yes,162,0.17,Yes
618,No,No,No,445,0.04,Yes
619,No,Yes,No,351,0.17,No
620,Yes,No,No,489,0.24,Yes
621,Yes,No,No,424,0.26,No
622,Yes,No,No,486,0.22,Yes
623,No,No,Yes,116,0.13,Yes
624,No,Yes,No,204,0.06,No
625,No,Yes,No,462,0.21,No
626,No,Yes,No,177,0.3,No
627,Yes,No,No,401,0.08,No
628,No,No,No,482,0.25,No
629,No,No,Yes,328,0.11,Yes
630,Yes,No,No,402,0.16,Yes
631,No,Yes,No,369,0.27,Yes
632,No,Yes,Yes,467,0.05,Yes
633,No,No,No,252,0.07,Yes
634,No,Yes,Yes,340,0.05,Yes
635,No,No,No,112,0.08,No
636,Yes,Yes,Yes,310,0.24,No
637,Yes,No,Yes,332,0.04,No
638,Yes,No,Yes,335,0.02,Yes
639,Yes,No,Yes,216,0.19,No
640,No,No,Yes,373,0.15,No
641,No,Yes,No,189,0.08,No
642,Yes,Yes,Yes,241,0.23,No
643,Yes,No,Yes,240,0.02,No
644,No,Yes,Yes,447,0.14,Yes
645,Yes,No,No,426,0.03,Yes
646,No,No,Yes,425,0.14,No
647,No,Yes,No,142,0.05,No
648,No,No,Yes,205,0.22,Yes
649,No,Yes,Yes,351,0.22,Yes
650,No,Yes,No,332,0.23,No
651,Yes,No,No,299,0.14,No
652,No,Yes,No,401,0.16,No
653,Yes,Yes,Yes,490,0.29,No
654,Yes,Yes,No,371,0.17,Yes
655,No,Yes,Yes,310,0.12,Yes
656,No,Yes,Yes,238,0.09,No
657,No,Yes,Yes,252,0.05,Yes
658,No,No,Yes,292,0.18,Yes
659,No,Yes,Yes,170,0.12,No
660,No,No,No,175,0.22,No
661,No,No,Yes,318,0.13,No
662,Yes,Yes,Yes,129,0.21,No
663,Yes,Yes,Yes,377,0.25,No
664,No,No,No,162,0.12,No
665,No,Yes,No,481,0.23,Yes
666,Yes,No,Yes,402,0.03,No
667,Yes,No,No,241,0.2,Yes
668,Yes,Yes,No,101,0.14,No
669,Yes,No,No,231,0.17,No
670,No,No,Yes,297,0.25,No
671,No,Yes,Yes,127,0.16,Yes
672,No,No,Yes,169,0.22,No
673,Yes,Yes,No,179,0.03,No
674,No,No,Yes,120,0.04,No
675,No,No,No,107,0.08,No
676,No,No,Yes,210,0.15,Yes
677,No,Yes,Yes,153,0.1,Yes
678,Yes,Yes,Yes,292,0.11,No
679,Yes,No,Yes,242,0.09,No
680,Yes,No,No,112,0.04,Yes
681,Yes,Yes,Yes,158,0.09,No
682,No,Yes,Yes,462,0.03,No
683,Yes,No,Yes,267,0.07,No
684,No,No,Yes,467,0.28,No
685,Yes,Yes,No,427,0.13,Yes
686,No,No,No,431,0.27,No
687,Yes,Yes,Yes,222,0.02,No
688,No,No,Yes,187,0.16,No
689,Yes,Yes,Yes,339,0.22,No
690,Yes,Yes,No,135,0.06,Yes
691,Yes,No,No,459,0.27,No
692,No,Yes,Yes,327,0.07,No
693,No,No,No,201,0.05,No
694,No,No,No,139,0.2,Yes
695,Yes,No,No,454,0.28,Yes
